283fb5a46b314013f6d2b96f7afde718696fa243###/williamfiset_Algorithms/src/test/java/com/williamfiset/algorithms/dp/WeightedMaximumCardinalityMatchingTest.java###/WeightedMaximumCardinalityMatchingTest.java###com.williamfiset.algorithms.dp.WeightedMaximumCardinalityMatchingTest###testNegativeEdge_smallerThanINFWeights:###assertThat(cost).isEqualTo(-1.0+-3.0+-5.0+(-3*50*INF));###expectedCost###-1.0+-3.0+-5.0+(-3*50*INF)###305:5:305:70
4669a89785a68e0acb8c026d9e47af3f8a4c1a91###/williamfiset_Algorithms/com/williamfiset/algorithms/geometry/ConvexPolygonContainsPoint.java###/ConvexPolygonContainsPoint.java###com.williamfiset.algorithms.geometry.ConvexPolygonContainsPoint###collinear:Point2D Point2D Point2D ###doublearea=(b.getX()-a.getX())*(c.getY()-a.getY())-(b.getY()-a.getY())*(c.getX()-a.getX());###ax###a.getX()###56:5:58:61
e10c66c24ad464e4c437b19ad09424eecfad9592###/williamfiset_Algorithms/com/williamfiset/algorithms/graphtheory/EagerPrimsAdjacencyList.java###/EagerPrimsAdjacencyList.java###com.williamfiset.algorithms.graphtheory.EagerPrimsAdjacencyList###relaxEdgesAtNode:int ###for(e:graph.get(nodeIndex))###edges###graph.get(nodeIndex)###76:5:82:6
c6027e588512ec357cea775c7109c670ba33927f###/williamfiset_Algorithms/GraphTheory/TravelingSalesmanProblemBruteForce.java###/TravelingSalesmanProblemBruteForce.java###TravelingSalesmanProblemBruteForce###main:String[] ###matrix[optimalTour[i-1]][optimalTour[i]]=5;###edgeCost###5###94:7:94:52
4669a89785a68e0acb8c026d9e47af3f8a4c1a91###/williamfiset_Algorithms/com/williamfiset/algorithms/geometry/PointInsideTriangle.java###/PointInsideTriangle.java###com.williamfiset.algorithms.geometry.PointInsideTriangle###collinear:Point2D Point2D Point2D ###doublearea=(b.getX()-a.getX())*(c.getY()-a.getY())-(b.getY()-a.getY())*(c.getX()-a.getX());###by###b.getY()###61:5:63:61
4669a89785a68e0acb8c026d9e47af3f8a4c1a91###/williamfiset_Algorithms/com/williamfiset/algorithms/geometry/ConvexPolygonContainsPoint.java###/ConvexPolygonContainsPoint.java###com.williamfiset.algorithms.geometry.ConvexPolygonContainsPoint###collinear:Point2D Point2D Point2D ###doublearea=(b.getX()-a.getX())*(c.getY()-a.getY())-(b.getY()-a.getY())*(c.getX()-a.getX());###by###b.getY()###56:5:58:61
4669a89785a68e0acb8c026d9e47af3f8a4c1a91###/williamfiset_Algorithms/com/williamfiset/algorithms/geometry/ConvexPolygonContainsPoint.java###/ConvexPolygonContainsPoint.java###com.williamfiset.algorithms.geometry.ConvexPolygonContainsPoint###collinear:Point2D Point2D Point2D ###doublearea=(b.getX()-a.getX())*(c.getY()-a.getY())-(b.getY()-a.getY())*(c.getX()-a.getX());###cx###c.getX()###56:5:58:61
4669a89785a68e0acb8c026d9e47af3f8a4c1a91###/williamfiset_Algorithms/com/williamfiset/algorithms/geometry/PointInsideTriangle.java###/PointInsideTriangle.java###com.williamfiset.algorithms.geometry.PointInsideTriangle###collinear:Point2D Point2D Point2D ###doublearea=(b.getX()-a.getX())*(c.getY()-a.getY())-(b.getY()-a.getY())*(c.getX()-a.getX());###cx###c.getX()###61:5:63:61
4669a89785a68e0acb8c026d9e47af3f8a4c1a91###/williamfiset_Algorithms/com/williamfiset/algorithms/geometry/ConvexPolygonContainsPoint.java###/ConvexPolygonContainsPoint.java###com.williamfiset.algorithms.geometry.ConvexPolygonContainsPoint###collinear:Point2D Point2D Point2D ###doublearea=(b.getX()-a.getX())*(c.getY()-a.getY())-(b.getY()-a.getY())*(c.getX()-a.getX());###ay###a.getY()###56:5:58:61
4669a89785a68e0acb8c026d9e47af3f8a4c1a91###/williamfiset_Algorithms/com/williamfiset/algorithms/geometry/ConvexPolygonContainsPoint.java###/ConvexPolygonContainsPoint.java###com.williamfiset.algorithms.geometry.ConvexPolygonContainsPoint###collinear:Point2D Point2D Point2D ###doublearea=(b.getX()-a.getX())*(c.getY()-a.getY())-(b.getY()-a.getY())*(c.getX()-a.getX());###bx###b.getX()###56:5:58:61
6d8bb428cd59ce3da5530d569b555c69a07c2f4d###/williamfiset_Algorithms/src/main/java/com/williamfiset/algorithms/strings/BoyerMooreStringSearch.java###/BoyerMooreStringSearch.java###com.williamfiset.algorithms.strings.BoyerMooreStringSearch###findOccurrences:String String ###patternIndex=pattern.length()-1;###n###pattern.length()###46:9:46:45
